EmpID,FirstName,LastName,StartDate,Position,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,DOB,State,Gender,Pincode,Performance ,Current Emp Rating,CompanyName
3442,Madhav,Gupta,09-Jul-19,Cloud Architect,Neha Shah,madhav.gupta@unifiedmentors.com,PYZ,Active,Full-Time,Zone A,Full-Time,Cloud,24-11-1952,UP,Male,9509,Exceeds,2,Unified Mentors Pvt Ltd
3443,Madhav,Khan,05-Apr-21,Database Administrator,Vikram Singh,madhav.khan@unifiedmentors.com,WBL,Active,Full-Time,Zone C,Part-Time,Backend,08-04-1994,MP,Male,11013,Fully Meets,3,Unified Mentors Pvt Ltd
3444,Aarav,Reddy,28-Nov-21,Software Developer,Rahul Mehta,aarav.reddy@unifiedmentors.com,NEL,Active,Contract,Zone A,Part-Time,Development,15-11-1983,UP,Male,35096,Fully Meets,3,Unified Mentors Pvt Ltd
3445,Kavya,Singh,16-Jan-21,IT Support Specialist,Sita Desai,kavya.singh@unifiedmentors.com,PL,Active,Contract,Zone C,Full-Time,Support,07-12-1985,KA,Female,46391,Exceeds,4,Unified Mentors Pvt Ltd
3446,Diya,Reddy,24-Aug-21,System Administrator,Sita Desai,diya.reddy@unifiedmentors.com,BPC,Active,Part-Time,Zone A,Part-Time,Admin,01-05-1996,RJ,Female,69839,Exceeds,2,Unified Mentors Pvt Ltd
3447,Kavya,Mehta,26-May-20,Cybersecurity Analyst,Anil Kapoor,kavya.mehta@unifiedmentors.com,CCDR,Future Start,Part-Time,Zone C,Part-Time,Cyber,17-02-1964,MH,Female,38766,Fully Meets,3,Unified Mentors Pvt Ltd
3448,Kavya,Singh,01-Oct-19,Project Manager,Ravi Kumar,kavya.singh@unifiedmentors.com,SVG,Future Start,Full-Time,Zone A,Temporary,Project management,12-05-1958,RJ,Male,76902,Fully Meets,3,Unified Mentors Pvt Ltd
3449,Aanya,Khan,10-May-23,Database Administrator,Anjali Rao,aanya.khan@unifiedmentors.com,EW,Future Start,Contract,Zone B,Temporary,Backend,18-09-1992,KA,Male,65064,Fully Meets,5,Unified Mentors Pvt Ltd
3450,Arjun,Patel,01-Sep-20,Data Analyst,Pooja Das,arjun.patel@unifiedmentors.com,MSC,Active,Contract,Zone C,Temporary,Backend,11-08-1994,WB,Male,87387,Exceeds,2,Unified Mentors Pvt Ltd
3451,Ishaan,Gupta,18-Feb-21,Full stack developer,Ravi Kumar,ishaan.gupta@unifiedmentors.com,TNS,Active,Contract,Zone C,Full-Time,Development,15-01-1968,MH,Male,61278,Exceeds,3,Unified Mentors Pvt Ltd
3452,Rohan,Sharma,08-Nov-22,DevOps Engineer,Anil Kapoor,rohan.sharma@unifiedmentors.com,PYZ,Active,Part-Time,Zone A,Part-Time,DevOps,07-01-1947,KA,Male,15976,Fully Meets,2,Unified Mentors Pvt Ltd
3453,Nisha,Khan,13-Oct-22,Cloud Architect,Neha Shah,nisha.khan@unifiedmentors.com,WBL,Active,Contract,Zone C,Part-Time,Cloud,07-04-1982,DL,Male,72189,Fully Meets,4,Unified Mentors Pvt Ltd
3454,Ishaan,Verma,11-Sep-22,Database Administrator,Rahul Mehta,ishaan.verma@unifiedmentors.com,PYZ,Active,Full-Time,Zone C,Full-Time,Backend,29-01-1970,TN,Male,11718,Needs Improvement,4,Unified Mentors Pvt Ltd
3455,Tanvi,Nair,29-Jun-21,Software Developer,Neha Shah,tanvi.nair@unifiedmentors.com,WBL,Active,Full-Time,Zone C,Temporary,Development,18-01-1999,MP,Male,73625,Exceeds,4,Unified Mentors Pvt Ltd
3456,Ishaan,Singh,06-Mar-23,IT Support Specialist,Anil Kapoor,ishaan.singh@unifiedmentors.com,NEL,Active,Full-Time,Zone A,Temporary,Support,25-09-1946,AP,Female,57504,Fully Meets,3,Unified Mentors Pvt Ltd
3457,Aarav,Singh,25-Sep-20,System Administrator,Ravi Kumar,aarav.singh@unifiedmentors.com,PL,Active,Full-Time,Zone B,Temporary,Admin,23-08-1947,TN,Female,45118,Needs Improvement,3,Unified Mentors Pvt Ltd
3458,Tanvi,Reddy,28-Apr-22,Cybersecurity Analyst,Pooja Das,tanvi.reddy@unifiedmentors.com,BPC,Future Start,Contract,Zone A,Full-Time,Cyber,12-08-1996,RJ,Female,96067,Needs Improvement,3,Unified Mentors Pvt Ltd
3459,Madhav,Jain,18-Apr-21,Project Manager,Sita Desai,madhav.jain@unifiedmentors.com,CCDR,Future Start,Part-Time,Zone A,Full-Time,Project management,09-02-1944,RJ,Male,8993,Exceeds,2,Unified Mentors Pvt Ltd
3460,Diya,Mehta,19-Feb-20,Database Administrator,Arvind Agarwal,diya.mehta@unifiedmentors.com,SVG,Active,Full-Time,Zone A,Full-Time,Backend,10-02-1944,KA,Male,95258,Fully Meets,3,Unified Mentors Pvt Ltd
3461,Madhav,Mehta,18-Jul-19,Data Analyst,Meena Joshi,madhav.mehta@unifiedmentors.com,EW,Future Start,Full-Time,Zone C,Part-Time,Backend,29-12-1997,MP,Male,13659,Needs Improvement,1,Unified Mentors Pvt Ltd
3462,Nisha,Mehta,13-Sep-18,Full stack developer,Rahul Mehta,nisha.mehta@unifiedmentors.com,MSC,Active,Contract,Zone A,Full-Time,Development,09-08-1942,DL,Male,67321,Needs Improvement,3,Unified Mentors Pvt Ltd
3463,Nisha,Reddy,30-Apr-20,DevOps Engineer,Arvind Agarwal,nisha.reddy@unifiedmentors.com,TNS,Active,Part-Time,Zone A,Temporary,DevOps,21-06-1951,GJ,Male,46106,Fully Meets,1,Unified Mentors Pvt Ltd
3464,Arjun,Reddy,03-Dec-18,Cloud Architect,Pooja Das,arjun.reddy@unifiedmentors.com,PYZ,Active,Contract,Zone B,Full-Time,Cloud,17-06-1998,DL,Male,9059,Needs Improvement,5,Unified Mentors Pvt Ltd
3465,Arjun,Sharma,08-Nov-21,Database Administrator,Neha Shah,arjun.sharma@unifiedmentors.com,WBL,Active,Full-Time,Zone B,Full-Time,Backend,07-01-1962,TN,Male,15048,Needs Improvement,3,Unified Mentors Pvt Ltd
3466,Aanya,Patel,13-Apr-22,Software Developer,Meena Joshi,aanya.patel@unifiedmentors.com,PYZ,Active,Part-Time,Zone C,Full-Time,Development,26-01-1979,WB,Male,5098,Exceeds,4,Unified Mentors Pvt Ltd
3467,Ishaan,Jain,06-May-20,IT Support Specialist,Vikram Singh,ishaan.jain@unifiedmentors.com,WBL,Active,Contract,Zone A,Part-Time,Support,14-05-1987,TN,Female,53349,Exceeds,1,Unified Mentors Pvt Ltd
3468,Arjun,Gupta,09-Sep-19,System Administrator,Sita Desai,arjun.gupta@unifiedmentors.com,NEL,Active,Contract,Zone B,Temporary,Admin,26-04-1998,WB,Female,81698,Fully Meets,4,Unified Mentors Pvt Ltd
3469,Tanvi,Gupta,29-Jul-20,Cybersecurity Analyst,Arvind Agarwal,tanvi.gupta@unifiedmentors.com,PL,Future Start,Contract,Zone B,Full-Time,Cyber,21-02-1945,TN,Female,73931,Needs Improvement,3,Unified Mentors Pvt Ltd
3470,Aarav,Gupta,14-Nov-18,Project Manager,Anjali Rao,aarav.gupta@unifiedmentors.com,BPC,Future Start,Contract,Zone C,Part-Time,Project management,31-05-1997,UP,Female,44354,Needs Improvement,3,Unified Mentors Pvt Ltd
3471,Tanvi,Jain,29-Feb-20,Database Administrator,Anil Kapoor,tanvi.jain@unifiedmentors.com,CCDR,Active,Part-Time,Zone C,Temporary,Backend,03-01-1967,AP,Male,66300,Fully Meets,4,Unified Mentors Pvt Ltd
3472,Nisha,Khan,15-Jan-23,Data Analyst,Vikram Singh,nisha.khan@unifiedmentors.com,SVG,Active,Contract,Zone C,Full-Time,Backend,12-01-1982,WB,Male,19449,Exceeds,4,Unified Mentors Pvt Ltd
3473,Kavya,Nair,29-Jun-23,Full stack developer,Anjali Rao,kavya.nair@unifiedmentors.com,EW,Active,Part-Time,Zone A,Temporary,Development,01-10-1950,DL,Male,93787,Exceeds,2,Unified Mentors Pvt Ltd
3474,Arjun,Patel,09-Mar-20,DevOps Engineer,Ravi Kumar,arjun.patel@unifiedmentors.com,MSC,Active,Full-Time,Zone A,Temporary,DevOps,16-12-1965,MH,Male,69500,Fully Meets,2,Unified Mentors Pvt Ltd
3475,Aarav,Sharma,21-Sep-21,Cloud Architect,Sita Desai,aarav.sharma@unifiedmentors.com,TNS,Active,Full-Time,Zone C,Temporary,Cloud,25-12-1957,TN,Male,30995,Fully Meets,2,Unified Mentors Pvt Ltd
3476,Aarav,Verma,12-Jun-23,Database Administrator,Rahul Mehta,aarav.verma@unifiedmentors.com,PYZ,Active,Part-Time,Zone A,Temporary,Backend,20-06-1945,DL,Male,65749,Needs Improvement,2,Unified Mentors Pvt Ltd
3477,Madhav,Khan,07-Apr-19,Software Developer,Vikram Singh,madhav.khan@unifiedmentors.com,PYZ,Active,Part-Time,Zone A,Full-Time,Development,03-12-1969,UP,Female,81774,Needs Improvement,2,Unified Mentors Pvt Ltd
3478,Kavya,Jain,17-Sep-18,IT Support Specialist,Pooja Das,kavya.jain@unifiedmentors.com,WBL,Active,Full-Time,Zone C,Temporary,Support,10-10-1957,MP,Female,67093,Fully Meets,2,Unified Mentors Pvt Ltd
3479,Nisha,Sharma,02-Aug-22,System Administrator,Meena Joshi,nisha.sharma@unifiedmentors.com,NEL,Active,Contract,Zone A,Part-Time,Admin,17-05-1962,GJ,Female,69077,Fully Meets,2,Unified Mentors Pvt Ltd
3480,Tanvi,Jain,08-Sep-22,Cybersecurity Analyst,Meena Joshi,tanvi.jain@unifiedmentors.com,PL,Future Start,Full-Time,Zone C,Temporary,Cyber,09-08-1946,KA,Female,1979,Fully Meets,1,Unified Mentors Pvt Ltd
3481,Madhav,Verma,07-Mar-19,Project Manager,Sita Desai,madhav.verma@unifiedmentors.com,BPC,Future Start,Full-Time,Zone C,Part-Time,Project management,11-12-1965,TN,Male,37122,Fully Meets,4,Unified Mentors Pvt Ltd
3482,Madhav,Patel,29-Oct-19,Database Administrator,Meena Joshi,madhav.patel@unifiedmentors.com,CCDR,Future Start,Full-Time,Zone A,Temporary,Backend,11-02-1990,GJ,Male,68614,Needs Improvement,2,Unified Mentors Pvt Ltd
3483,Aarav,Jain,26-Sep-21,Data Analyst,Anil Kapoor,aarav.jain@unifiedmentors.com,SVG,Active,Part-Time,Zone B,Temporary,Backend,19-06-1964,GJ,Male,96754,Fully Meets,1,Unified Mentors Pvt Ltd
3484,Rohan,Sharma,29-Aug-18,Full stack developer,Ravi Kumar,rohan.sharma@unifiedmentors.com,EW,Active,Part-Time,Zone B,Full-Time,Development,18-07-1995,AP,Male,57450,Fully Meets,4,Unified Mentors Pvt Ltd
3485,Diya,Jain,26-Oct-21,DevOps Engineer,Sita Desai,diya.jain@unifiedmentors.com,MSC,Active,Contract,Zone C,Full-Time,DevOps,22-08-1994,WB,Male,50937,Fully Meets,5,Unified Mentors Pvt Ltd
3486,Arjun,Nair,31-Oct-22,Cloud Architect,Neha Shah,arjun.nair@unifiedmentors.com,TNS,Active,Part-Time,Zone C,Temporary,Cloud,14-11-1990,RJ,Male,81107,Fully Meets,4,Unified Mentors Pvt Ltd
3487,Diya,Mehta,15-Mar-23,Database Administrator,Anil Kapoor,diya.mehta@unifiedmentors.com,BPC,Active,Contract,Zone B,Part-Time,Backend,01-02-1994,MP,Female,17269,Fully Meets,4,Unified Mentors Pvt Ltd
3488,Rohan,Patel,09-Sep-22,Software Developer,Rahul Mehta,rohan.patel@unifiedmentors.com,CCDR,Active,Contract,Zone B,Full-Time,Development,12-11-1997,UP,Female,47583,Fully Meets,2,Unified Mentors Pvt Ltd
3489,Diya,Singh,04-Mar-22,IT Support Specialist,Arvind Agarwal,diya.singh@unifiedmentors.com,EW,Active,Part-Time,Zone A,Temporary,Support,02-05-1953,AP,Female,78724,Fully Meets,2,Unified Mentors Pvt Ltd
3490,Diya,Gupta,11-Feb-19,System Administrator,Sita Desai,diya.gupta@unifiedmentors.com,MSC,Active,Part-Time,Zone A,Part-Time,Admin,10-07-1991,MP,Female,5144,Fully Meets,2,Unified Mentors Pvt Ltd
3491,Ishaan,Reddy,26-Jan-21,Cybersecurity Analyst,Vikram Singh,ishaan.reddy@unifiedmentors.com,NEL,Active,Contract,Zone B,Full-Time,Cyber,02-06-1973,MP,Male,54731,Fully Meets,5,Unified Mentors Pvt Ltd
3492,Rohan,Patel,26-Nov-19,Project Manager,Ravi Kumar,rohan.patel@unifiedmentors.com,PL,Active,Full-Time,Zone C,Full-Time,Project management,08-01-1993,GJ,Male,15907,Fully Meets,1,Unified Mentors Pvt Ltd
3493,Aanya,Jain,15-Jul-19,Database Administrator,Arvind Agarwal,aanya.jain@unifiedmentors.com,PYZ,Active,Full-Time,Zone C,Full-Time,Backend,17-04-1984,RJ,Male,72481,Fully Meets,5,Unified Mentors Pvt Ltd
3494,Aanya,Verma,18-Jun-20,Data Analyst,Ravi Kumar,aanya.verma@unifiedmentors.com,SVG,Active,Contract,Zone B,Full-Time,Backend,08-02-1994,RJ,Male,55694,Fully Meets,4,Unified Mentors Pvt Ltd
3495,Kavya,Khan,22-Jun-23,Full stack developer,Ravi Kumar,kavya.khan@unifiedmentors.com,TNS,Active,Part-Time,Zone B,Temporary,Development,27-01-1993,RJ,Male,30830,Fully Meets,4,Unified Mentors Pvt Ltd
3496,Madhav,Nair,02-Dec-21,DevOps Engineer,Pooja Das,madhav.nair@unifiedmentors.com,WBL,Active,Contract,Zone A,Part-Time,DevOps,19-09-1964,WB,Male,27071,Fully Meets,5,Unified Mentors Pvt Ltd
3497,Rohan,Reddy,08-Dec-21,Cloud Architect,Neha Shah,rohan.reddy@unifiedmentors.com,TNS,Active,Part-Time,Zone C,Temporary,Cloud,18-02-1981,TN,Female,21556,Fully Meets,1,Unified Mentors Pvt Ltd
3498,Madhav,Nair,26-Apr-23,Database Administrator,Arvind Agarwal,madhav.nair@unifiedmentors.com,PYZ,Active,Full-Time,Zone A,Full-Time,Backend,17-10-1998,TN,Female,94033,Fully Meets,2,Unified Mentors Pvt Ltd
3499,Aanya,Patel,25-Sep-18,Software Developer,Anil Kapoor,aanya.patel@unifiedmentors.com,WBL,Active,Part-Time,Zone C,Temporary,Development,16-01-1971,UP,Female,4568,Fully Meets,5,Unified Mentors Pvt Ltd
3500,Aanya,Reddy,20-Nov-18,IT Support Specialist,Pooja Das,aanya.reddy@unifiedmentors.com,NEL,Active,Full-Time,Zone B,Part-Time,Support,25-02-2000,TN,Female,97527,Fully Meets,1,Unified Mentors Pvt Ltd
3501,Diya,Nair,30-Aug-20,System Administrator,Meena Joshi,diya.nair@unifiedmentors.com,PL,Future Start,Part-Time,Zone A,Part-Time,Admin,19-04-1959,GJ,Male,42106,Fully Meets,4,Unified Mentors Pvt Ltd
3502,Aarav,Patel,01-Oct-19,Cybersecurity Analyst,Anil Kapoor,aarav.patel@unifiedmentors.com,BPC,Active,Full-Time,Zone C,Temporary,Cyber,29-06-1976,MH,Male,62414,Fully Meets,1,Unified Mentors Pvt Ltd
3503,Tanvi,Verma,20-Jan-22,Project Manager,Neha Shah,tanvi.verma@unifiedmentors.com,CCDR,Active,Part-Time,Zone A,Temporary,Project management,27-07-1951,TN,Male,75587,Fully Meets,4,Unified Mentors Pvt Ltd
3504,Aarav,Patel,10-Oct-21,Database Administrator,Rahul Mehta,aarav.patel@unifiedmentors.com,SVG,Active,Full-Time,Zone B,Part-Time,Backend,23-08-1980,TN,Male,26299,Fully Meets,2,Unified Mentors Pvt Ltd
3505,Rohan,Patel,29-Aug-20,Data Analyst,Pooja Das,rohan.patel@unifiedmentors.com,EW,Active,Contract,Zone B,Temporary,Backend,24-07-1943,MP,Male,29901,Fully Meets,1,Unified Mentors Pvt Ltd
3506,Tanvi,Khan,27-Aug-19,Full stack developer,Sita Desai,tanvi.khan@unifiedmentors.com,MSC,Active,Full-Time,Zone B,Temporary,Development,06-07-1988,WB,Male,37366,Fully Meets,2,Unified Mentors Pvt Ltd
3507,Madhav,Singh,25-Feb-21,DevOps Engineer,Ravi Kumar,madhav.singh@unifiedmentors.com,TNS,Active,Full-Time,Zone A,Full-Time,DevOps,24-03-1973,AP,Male,4473,Fully Meets,4,Unified Mentors Pvt Ltd
3508,Rohan,Verma,13-Jul-21,Cloud Architect,Anil Kapoor,rohan.verma@unifiedmentors.com,CCDR,Active,Full-Time,Zone B,Part-Time,Cloud,26-05-1942,DL,Male,40087,Fully Meets,5,Unified Mentors Pvt Ltd
3509,Madhav,Nair,14-Apr-21,Database Administrator,Anjali Rao,madhav.nair@unifiedmentors.com,BPC,Active,Part-Time,Zone C,Full-Time,Backend,04-11-1977,TN,Female,83074,Fully Meets,2,Unified Mentors Pvt Ltd
3510,Arjun,Patel,10-Feb-20,Software Developer,Anjali Rao,arjun.patel@unifiedmentors.com,PYZ,Active,Part-Time,Zone A,Full-Time,Development,17-10-1956,MP,Female,99443,Fully Meets,2,Unified Mentors Pvt Ltd
3511,Nisha,Mehta,17-Aug-21,IT Support Specialist,Neha Shah,nisha.mehta@unifiedmentors.com,WBL,Active,Part-Time,Zone B,Full-Time,Support,18-02-1997,GJ,Female,88092,Fully Meets,4,Unified Mentors Pvt Ltd
3512,Arjun,Patel,17-Apr-23,System Administrator,Sita Desai,arjun.patel@unifiedmentors.com,NEL,Future Start,Contract,Zone C,Temporary,Admin,25-10-1996,RJ,Female,32097,Fully Meets,2,Unified Mentors Pvt Ltd
3513,Diya,Reddy,02-Sep-22,Cybersecurity Analyst,Pooja Das,diya.reddy@unifiedmentors.com,PL,Future Start,Contract,Zone C,Temporary,Cyber,13-11-1959,KA,Male,39105,Fully Meets,5,Unified Mentors Pvt Ltd
3514,Diya,Reddy,15-Apr-20,Project Manager,Neha Shah,diya.reddy@unifiedmentors.com,BPC,Active,Full-Time,Zone B,Part-Time,Project management,03-01-1958,UP,Male,33327,Fully Meets,1,Unified Mentors Pvt Ltd
3515,Aarav,Jain,09-Mar-22,Database Administrator,Vikram Singh,aarav.jain@unifiedmentors.com,CCDR,Future Start,Part-Time,Zone A,Part-Time,Backend,29-04-1997,WB,Male,24255,Fully Meets,4,Unified Mentors Pvt Ltd
3516,Nisha,Khan,07-Apr-22,Data Analyst,Arvind Agarwal,nisha.khan@unifiedmentors.com,SVG,Active,Contract,Zone B,Part-Time,Backend,25-06-1988,TN,Male,77033,Fully Meets,5,Unified Mentors Pvt Ltd
3517,Aanya,Gupta,19-Feb-20,Full stack developer,Arvind Agarwal,aanya.gupta@unifiedmentors.com,EW,Active,Part-Time,Zone A,Part-Time,Development,04-01-1942,AP,Male,84218,Fully Meets,4,Unified Mentors Pvt Ltd
3518,Nisha,Verma,10-Apr-21,DevOps Engineer,Neha Shah,nisha.verma@unifiedmentors.com,MSC,Active,Contract,Zone B,Part-Time,DevOps,24-05-1969,AP,Female,26155,Fully Meets,2,Unified Mentors Pvt Ltd
3519,Madhav,Jain,19-Dec-21,Cloud Architect,Arvind Agarwal,madhav.jain@unifiedmentors.com,TNS,Active,Part-Time,Zone C,Temporary,Cloud,28-03-1951,GJ,Male,58297,Fully Meets,2,Unified Mentors Pvt Ltd
3520,Madhav,Verma,13-Dec-20,Database Administrator,Vikram Singh,madhav.verma@unifiedmentors.com,TNS,Active,Full-Time,Zone C,Temporary,Backend,01-03-1963,AP,Female,68385,Fully Meets,1,Unified Mentors Pvt Ltd
3521,Aanya,Patel,26-Feb-19,Software Developer,Neha Shah,aanya.patel@unifiedmentors.com,WBL,Active,Contract,Zone C,Part-Time,Development,16-04-1949,KA,Female,69783,Fully Meets,4,Unified Mentors Pvt Ltd
3522,Madhav,Reddy,02-Mar-20,IT Support Specialist,Rahul Mehta,madhav.reddy@unifiedmentors.com,BPC,Active,Full-Time,Zone C,Part-Time,Support,12-10-1983,RJ,Female,46333,Fully Meets,1,Unified Mentors Pvt Ltd
3523,Arjun,Jain,25-Jun-21,System Administrator,Pooja Das,arjun.jain@unifiedmentors.com,CCDR,Active,Full-Time,Zone A,Temporary,Admin,19-12-1978,TN,Female,60558,Fully Meets,2,Unified Mentors Pvt Ltd
3524,Arjun,Khan,26-Jul-21,Cybersecurity Analyst,Anjali Rao,arjun.khan@unifiedmentors.com,EW,Future Start,Contract,Zone B,Full-Time,Cyber,11-11-1999,UP,Male,88431,Fully Meets,2,Unified Mentors Pvt Ltd
3525,Nisha,Singh,03-Jul-22,Project Manager,Arvind Agarwal,nisha.singh@unifiedmentors.com,MSC,Future Start,Contract,Zone B,Temporary,Project management,29-01-1967,DL,Male,73654,Fully Meets,2,Unified Mentors Pvt Ltd
3526,Madhav,Nair,15-Sep-22,Database Administrator,Sita Desai,madhav.nair@unifiedmentors.com,NEL,Active,Full-Time,Zone B,Full-Time,Backend,30-05-1948,TN,Male,84856,Fully Meets,4,Unified Mentors Pvt Ltd
3527,Tanvi,Reddy,01-May-20,Data Analyst,Vikram Singh,tanvi.reddy@unifiedmentors.com,PL,Active,Full-Time,Zone B,Temporary,Backend,15-10-1974,UP,Male,39363,Fully Meets,1,Unified Mentors Pvt Ltd
3528,Tanvi,Jain,13-Oct-22,Full stack developer,Pooja Das,tanvi.jain@unifiedmentors.com,PYZ,Active,Full-Time,Zone C,Part-Time,Development,13-12-1991,GJ,Male,89008,Fully Meets,2,Unified Mentors Pvt Ltd
3529,Aanya,Singh,03-Jan-20,DevOps Engineer,Pooja Das,aanya.singh@unifiedmentors.com,SVG,Active,Part-Time,Zone C,Full-Time,DevOps,18-06-1994,AP,Male,5850,Fully Meets,2,Unified Mentors Pvt Ltd
3530,Madhav,Reddy,13-Nov-19,Cloud Architect,Meena Joshi,madhav.reddy@unifiedmentors.com,TNS,Active,Full-Time,Zone B,Part-Time,Cloud,16-06-1993,TN,Female,99224,Fully Meets,2,Unified Mentors Pvt Ltd
3531,Madhav,Verma,17-Jun-23,Database Administrator,Anil Kapoor,madhav.verma@unifiedmentors.com,WBL,Active,Full-Time,Zone C,Full-Time,Backend,18-05-1943,DL,Male,91517,Fully Meets,1,Unified Mentors Pvt Ltd
3532,Tanvi,Sharma,14-Oct-21,Software Developer,Anjali Rao,tanvi.sharma@unifiedmentors.com,EW,Active,Part-Time,Zone B,Full-Time,Development,27-11-1966,UP,Female,60212,Fully Meets,1,Unified Mentors Pvt Ltd
3533,Ishaan,Verma,01-Jun-21,IT Support Specialist,Sita Desai,ishaan.verma@unifiedmentors.com,MSC,Active,Contract,Zone B,Full-Time,Support,12-11-1966,AP,Male,64837,Fully Meets,2,Unified Mentors Pvt Ltd
3534,Arjun,Sharma,14-Sep-18,System Administrator,Vikram Singh,arjun.sharma@unifiedmentors.com,TNS,Active,Full-Time,Zone A,Full-Time,Admin,16-08-1959,MH,Female,34781,Fully Meets,4,Unified Mentors Pvt Ltd
3535,Ishaan,Jain,11-Dec-18,Cybersecurity Analyst,Meena Joshi,ishaan.jain@unifiedmentors.com,PYZ,Active,Full-Time,Zone A,Temporary,Cyber,02-02-1994,UP,Female,66757,Fully Meets,4,Unified Mentors Pvt Ltd
3536,Madhav,Gupta,06-Aug-22,Project Manager,Anjali Rao,madhav.gupta@unifiedmentors.com,WBL,Active,Contract,Zone C,Temporary,Project management,02-01-1989,UP,Female,11849,Fully Meets,2,Unified Mentors Pvt Ltd
3537,Nisha,Patel,28-May-22,Database Administrator,Arvind Agarwal,nisha.patel@unifiedmentors.com,NEL,Future Start,Contract,Zone C,Part-Time,Backend,11-07-1954,MH,Male,36963,Fully Meets,2,Unified Mentors Pvt Ltd
3538,Tanvi,Khan,16-Jun-19,Data Analyst,Arvind Agarwal,tanvi.khan@unifiedmentors.com,PL,Future Start,Part-Time,Zone C,Part-Time,Backend,29-08-1959,UP,Male,42872,Fully Meets,2,Unified Mentors Pvt Ltd
